#NET=AH,STA=ANQ,MINCC=0.80,XYFILE=AH.ANQ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|HUZ||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=HYJ,MINCC=0.80,XYFILE=GD.HYJ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|HYJ|232|5.92|3.94|6.16|2.16|2007-08-01T17:08:00Z|2011-09-04T21:44:00Z
GD|HYJ|1|4.47|NA|4.47|0.00|2011-09-12T22:44:00Z|2011-09-12T22:44:00Z
GD|HYJ|56|5.90|4.55|5.43|3.57|2011-09-14T18:10:00Z|2012-10-08T11:43:00Z
GD|HYJ|64|-0.71|3.60|0.07|2.34|2012-10-12T00:31:00Z|2013-09-02T04:30:00Z
GD|HYJ||||||2013-09-02T04:30:00Z|NULL
#NET=GD,STA=JIX,MINCC=0.80,XYFILE=GD.JIX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|JIX|8|-30.65|35.50|-20.65|3.82|2008-07-06T01:00:00Z|2009-07-13T10:52:00Z
GD|JIX|1|-89.99|NA|-89.99|0.00|2009-07-15T20:10:00Z|2009-07-15T20:10:00Z
GD|JIX|143|-93.60|8.37|-94.53|2.59|2009-07-25T01:42:00Z|2013-01-28T16:38:00Z
GD|JIX|37|-0.96|6.96|0.49|3.29|2013-02-06T00:07:00Z|2013-07-09T17:04:00Z
GD|JIX|1|-2.09|NA|-2.09|0.00|2013-08-12T00:53:00Z|2013-08-12T00:53:00Z
GD|JIX|4|-2.45|4.39|-0.74|1.69|2013-08-12T04:16:00Z|2013-09-01T11:52:00Z
GD|JIX||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=LCH,MINCC=0.80,XYFILE=GD.LCH.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|LCH|39|-1.34|6.42|-2.15|5.17|2007-08-01T17:08:00Z|2008-02-21T23:55:00Z
GD|LCH|7|-8.87|5.74|-10.65|1.32|2008-02-24T14:46:00Z|2008-03-12T11:23:00Z
GD|LCH|119|-2.09|4.81|-1.82|2.80|2008-03-18T08:22:00Z|2010-08-27T19:23:00Z
GD|LCH|1|-7.58|NA|-7.58|0.00|2010-09-03T16:35:00Z|2010-09-03T16:35:00Z
GD|LCH|114|-1.83|4.18|-2.00|2.44|2010-09-07T00:57:00Z|2013-02-06T01:12:00Z
GD|LCH|37|0.98|3.58|1.27|2.48|2013-02-07T00:30:00Z|2013-08-30T16:25:00Z
GD|LCH||||||2013-08-30T16:25:00Z|NULL
#NET=GD,STA=LIP,MINCC=0.80,XYFILE=GD.LIP.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|LIP|293|-4.70|4.63|-4.52|3.02|2007-08-02T02:37:00Z|2012-07-28T20:03:00Z
GD|LIP|11|41.49|14.03|44.88|3.37|2012-08-10T18:37:00Z|2012-10-20T23:00:00Z
GD|LIP|46|0.21|4.29|0.86|2.74|2012-11-12T20:42:00Z|2013-08-12T04:16:00Z
GD|LIP|1|-8.54|NA|-8.54|0.00|2013-08-16T02:31:00Z|2013-08-16T02:31:00Z
GD|LIP|2|-0.02|0.13|-0.02|0.13|2013-08-30T16:25:00Z|2013-09-01T11:52:00Z
GD|LIP||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=LIZ,MINCC=0.80,XYFILE=GD.LIZ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|LIZ|57|-2.72|4.39|-2.34|3.80|2007-08-01T17:08:00Z|2011-04-13T19:57:00Z
GD|LIZ|34|1.86|5.38|2.12|4.11|2011-04-23T04:16:00Z|2013-09-01T11:52:00Z
GD|LIZ||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=LTK,MINCC=0.80,XYFILE=GD.LTK.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|LTK|3|39.27|48.43|12.52|3.56|2007-08-01T17:08:00Z|2007-08-02T06:23:00Z
GD|LTK|1|9.06|NA|9.06|0.00|2007-08-02T13:37:00Z|2007-08-02T13:37:00Z
GD|LTK|77|12.41|10.22|13.51|2.76|2007-08-08T17:04:00Z|2009-05-19T17:35:00Z
GD|LTK|1|8.42|NA|8.42|0.00|2009-06-02T02:17:00Z|2009-06-02T02:17:00Z
GD|LTK|138|12.93|6.55|13.75|2.86|2009-06-03T18:54:00Z|2012-09-14T04:51:00Z
GD|LTK|52|-0.56|3.13|-0.44|1.68|2012-09-26T23:39:00Z|2013-09-01T11:52:00Z
GD|LTK||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=MEZ,MINCC=0.80,XYFILE=GD.MEZ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|MEZ|24|1.13|7.85|1.04|3.72|2007-08-01T17:08:00Z|2007-10-24T21:02:00Z
GD|MEZ|3|-12.17|14.93|-20.04|2.19|2007-10-25T13:50:00Z|2007-11-25T19:53:00Z
GD|MEZ|61|-0.04|7.01|0.04|4.39|2007-12-09T07:28:00Z|2008-09-18T11:58:00Z
GD|MEZ|1|29.51|NA|29.51|0.00|2008-10-02T23:28:00Z|2008-10-02T23:28:00Z
GD|MEZ|5|11.23|5.94|13.59|3.54|2008-10-05T09:12:00Z|2008-10-22T12:55:00Z
GD|MEZ|273|-0.14|3.55|-0.08|2.42|2008-10-23T10:04:00Z|2013-09-01T11:52:00Z
GD|MEZ||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=NAO,MINCC=0.80,XYFILE=GD.NAO.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|NAO|45|-19.05|14.90|-22.42|8.50|2007-08-01T17:08:00Z|2008-09-18T11:58:00Z
GD|NAO|1|-21.94|NA|-21.94|0.00|2008-10-19T05:10:00Z|2008-10-19T05:10:00Z
GD|NAO|23|-24.27|8.54|-24.66|7.43|2008-10-22T12:55:00Z|2009-09-29T17:56:00Z
GD|NAO|2|-42.48|33.94|-42.48|35.58|2009-10-13T05:37:00Z|2009-10-13T20:21:00Z
GD|NAO|119|-27.80|6.18|-27.26|3.88|2009-10-16T09:52:00Z|2012-09-26T23:39:00Z
GD|NAO|56|0.43|3.30|0.60|2.31|2012-10-03T13:32:00Z|2013-09-01T11:52:00Z
GD|NAO||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=NAP,MINCC=0.80,XYFILE=GD.NAP.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|NAP|75|-2.06|5.54|-1.25|2.55|2008-06-06T13:42:00Z|2010-12-02T03:12:00Z
GD|NAP|22|-31.68|6.52|-33.28|1.65|2010-12-13T01:14:00Z|2011-06-24T03:09:00Z
GD|NAP|72|-3.10|4.44|-2.81|3.05|2011-07-06T19:03:00Z|2013-07-07T18:35:00Z
GD|NAP||||||2013-07-07T18:35:00Z|NULL
#NET=GD,STA=PUN,MINCC=0.80,XYFILE=GD.PUN.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|PUN|143|0.11|3.98|0.01|3.14|2007-08-01T17:08:00Z|2010-09-03T16:35:00Z
GD|PUN|2|-1.19|23.94|-1.19|25.10|2010-09-29T17:10:00Z|2010-10-08T03:26:00Z
GD|PUN|1|-12.48|NA|-12.48|0.00|2010-10-16T15:44:00Z|2010-10-16T15:44:00Z
GD|PUN|99|-0.04|4.19|0.25|2.55|2010-10-25T14:42:00Z|2013-04-19T03:05:00Z
GD|PUN|1|2.22|NA|2.22|0.00|2013-04-19T19:58:00Z|2013-04-19T19:58:00Z
GD|PUN|24|-0.49|3.64|-0.81|2.95|2013-04-20T13:12:00Z|2013-09-01T11:52:00Z
GD|PUN||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=SCD,MINCC=0.80,XYFILE=GD.SCD.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|SCD|15|-6.22|7.98|-4.38|6.70|2007-08-02T02:37:00Z|2008-03-12T11:23:00Z
GD|SCD|1|-2.39|NA|-2.39|0.00|2008-03-20T22:32:00Z|2008-03-20T22:32:00Z
GD|SCD|110|-2.83|5.12|-1.95|3.66|2008-03-22T21:24:00Z|2012-05-12T23:28:00Z
GD|SCD|1|0.77|NA|0.77|0.00|2012-05-20T07:19:00Z|2012-05-20T07:19:00Z
GD|SCD|65|-0.04|3.34|0.08|2.82|2012-05-23T15:02:00Z|2013-09-01T11:52:00Z
GD|SCD||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=SHD,MINCC=0.80,XYFILE=GD.SHD.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|SHD|175|10.39|4.83|10.30|4.36|2007-08-01T17:08:00Z|2012-10-20T23:00:00Z
GD|SHD|1|4.56|NA|4.56|0.00|2012-12-07T08:18:00Z|2012-12-07T08:18:00Z
GD|SHD|11|3.66|9.67|0.61|2.54|2012-12-10T16:53:00Z|2013-05-11T02:08:00Z
GD|SHD|1|3.91|NA|3.91|0.00|2013-05-11T20:46:00Z|2013-05-11T20:46:00Z
GD|SHD|12|-0.24|4.86|0.01|3.23|2013-05-14T00:32:00Z|2013-08-30T16:25:00Z
GD|SHD||||||2013-08-30T16:25:00Z|NULL
#NET=GD,STA=SHG,MINCC=0.80,XYFILE=GD.SHG.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|SHG|351|0.03|3.68|-0.01|2.59|2007-08-01T17:08:00Z|2013-09-01T11:52:00Z
GD|SHG||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=SHT,MINCC=0.80,XYFILE=GD.SHT.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|SHT|195|-0.43|6.28|0.06|2.42|2007-08-01T17:08:00Z|2011-01-18T20:23:00Z
GD|SHT|1|12.35|NA|12.35|0.00|2011-02-03T20:25:00Z|2011-02-03T20:25:00Z
GD|SHT|46|1.28|4.80|1.33|3.43|2011-02-06T11:21:00Z|2011-10-18T05:05:00Z
GD|SHT|1|1.57|NA|1.57|0.00|2011-10-21T17:57:00Z|2011-10-21T17:57:00Z
GD|SHT|105|0.05|3.59|0.73|2.13|2011-10-23T10:41:00Z|2013-09-01T11:52:00Z
GD|SHT||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=SHW,MINCC=0.80,XYFILE=GD.SHW.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|SHW|52|-2.52|8.26|-4.74|10.42|2007-08-01T17:08:00Z|2008-08-19T16:30:00Z
GD|SHW|210|-6.12|6.69|-7.55|5.98|2008-08-27T01:35:00Z|2013-02-10T18:39:00Z
GD|SHW|37|0.65|5.86|2.68|7.00|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
GD|SHW||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=SLG,MINCC=0.80,XYFILE=GD.SLG.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|SLG|5|18.44|22.79|7.60|2.58|2008-06-06T13:42:00Z|2008-07-05T02:12:00Z
GD|SLG|1|6.36|NA|6.36|0.00|2008-07-19T09:27:00Z|2008-07-19T09:27:00Z
GD|SLG|91|5.29|9.67|4.46|3.16|2008-07-19T22:39:00Z|2010-09-13T05:47:00Z
GD|SLG|6|69.22|35.47|83.78|1.73|2010-09-29T17:10:00Z|2010-12-06T07:30:00Z
GD|SLG|118|-2.27|5.44|-1.79|2.42|2010-12-13T01:14:00Z|2013-05-19T18:44:00Z
GD|SLG|0|NA|NA|NA|NA|NA|2013-05-19T18:44:00Z
GD|SLG||||||2013-05-19T18:44:00Z|NULL
#NET=GD,STA=SZN,MINCC=0.80,XYFILE=GD.SZN.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|SZN|201|-2.70|6.68|-3.24|2.71|2008-05-23T22:50:00Z|2011-09-15T07:53:00Z
GD|SZN|1|-5.17|NA|-5.17|0.00|2011-09-15T19:31:00Z|2011-09-15T19:31:00Z
GD|SZN|70|-2.09|4.42|-2.04|2.73|2011-09-16T19:26:00Z|2013-02-14T13:13:00Z
GD|SZN|1|36.41|NA|36.41|0.00|2013-02-28T14:05:00Z|2013-02-28T14:05:00Z
GD|SZN|2|17.12|28.93|17.12|30.33|2013-03-01T12:53:00Z|2013-03-09T14:56:00Z
GD|SZN|34|-1.79|4.27|-2.67|2.13|2013-03-13T03:12:00Z|2013-09-01T11:52:00Z
GD|SZN||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=TIS,MINCC=0.80,XYFILE=GD.TIS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|TIS|123|-8.14|4.29|-8.12|3.26|2007-08-01T17:08:00Z|2009-08-27T20:10:00Z
GD|TIS|1|-6.25|NA|-6.25|0.00|2009-09-02T07:55:00Z|2009-09-02T07:55:00Z
GD|TIS|132|-6.96|7.46|-7.34|2.96|2009-09-07T16:12:00Z|2011-09-15T07:53:00Z
GD|TIS|1|-4.63|NA|-4.63|0.00|2011-09-15T19:31:00Z|2011-09-15T19:31:00Z
GD|TIS|48|-7.72|3.56|-7.80|2.54|2011-09-16T19:26:00Z|2012-12-02T00:54:00Z
GD|TIS|49|0.75|3.37|0.92|2.80|2012-12-07T08:18:00Z|2013-09-02T04:30:00Z
GD|TIS||||||2013-09-02T04:30:00Z|NULL
#NET=GD,STA=TIX,MINCC=0.80,XYFILE=GD.TIX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|TIX|86|-7.67|9.38|-7.93|4.20|2007-08-02T02:37:00Z|2009-10-09T07:33:00Z
GD|TIX|1|-4.08|NA|-4.08|0.00|2009-10-13T20:21:00Z|2009-10-13T20:21:00Z
GD|TIX|99|-10.81|4.56|-11.12|3.62|2009-10-16T09:52:00Z|2012-09-08T10:51:00Z
GD|TIX|44|-0.20|4.32|0.32|3.90|2012-09-14T04:51:00Z|2013-09-01T11:52:00Z
GD|TIX||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=XFJ,MINCC=0.80,XYFILE=GD.XFJ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|XFJ|27|16.77|3.90|16.08|2.79|2007-08-01T17:08:00Z|2008-07-05T02:12:00Z
GD|XFJ|66|11.88|4.43|11.57|2.91|2008-07-19T09:27:00Z|2009-10-08T08:28:00Z
GD|XFJ|1|8.46|NA|8.46|0.00|2009-10-13T05:37:00Z|2009-10-13T05:37:00Z
GD|XFJ|148|11.50|3.75|11.43|2.81|2009-10-13T20:21:00Z|2012-09-03T18:23:00Z
GD|XFJ|54|0.55|2.98|0.61|2.07|2012-09-05T13:09:00Z|2013-09-01T11:52:00Z
GD|XFJ||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=XIG,MINCC=0.80,XYFILE=GD.XIG.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|XIG|19|2.57|5.09|2.11|3.48|2007-08-01T17:08:00Z|2007-11-25T16:02:00Z
GD|XIG|1|-1.93|NA|-1.93|0.00|2007-12-09T07:28:00Z|2007-12-09T07:28:00Z
GD|XIG|52|-1.15|5.47|-0.28|3.80|2007-12-10T12:10:00Z|2009-05-12T01:26:00Z
GD|XIG|1|-0.83|NA|-0.83|0.00|2009-05-16T00:53:00Z|2009-05-16T00:53:00Z
GD|XIG|151|3.42|3.77|3.64|2.89|2009-06-02T02:17:00Z|2012-09-14T04:51:00Z
GD|XIG|48|-1.64|3.55|-1.02|3.48|2012-10-08T11:43:00Z|2013-09-01T11:52:00Z
GD|XIG||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=XNH,MINCC=0.80,XYFILE=GD.XNH.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|XNH|289|-2.88|5.76|-3.11|2.70|2007-08-01T17:08:00Z|2011-09-15T07:53:00Z
GD|XNH|1|-3.66|NA|-3.66|0.00|2011-09-15T19:31:00Z|2011-09-15T19:31:00Z
GD|XNH|60|-3.33|3.58|-3.55|2.79|2011-09-16T19:26:00Z|2012-12-10T16:53:00Z
GD|XNH|59|-1.19|2.96|-0.48|1.50|2012-12-15T04:49:00Z|2013-09-01T11:52:00Z
GD|XNH||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=XNY,MINCC=0.80,XYFILE=GD.XNY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|XNY|2|20.74|20.03|20.74|20.99|2007-12-21T07:23:00Z|2008-01-18T19:31:00Z
GD|XNY|2|26.96|26.71|26.96|28.00|2008-04-08T02:09:00Z|2008-04-28T18:33:00Z
GD|XNY|174|2.57|4.45|3.01|3.34|2008-04-28T20:26:00Z|2011-02-21T10:57:00Z
GD|XNY|93|6.24|9.00|5.37|3.28|2011-02-21T23:51:00Z|2011-09-15T07:53:00Z
GD|XNY|1|8.63|NA|8.63|0.00|2011-09-15T08:00:00Z|2011-09-15T08:00:00Z
GD|XNY|122|3.63|4.13|4.17|3.24|2011-09-15T19:31:00Z|2013-09-01T11:52:00Z
GD|XNY||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=YGC,MINCC=0.80,XYFILE=GD.YGC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|YGC|123|-2.75|5.97|-2.52|2.76|2007-08-01T17:08:00Z|2010-01-18T01:02:00Z
GD|YGC|1|-2.03|NA|-2.03|0.00|2010-02-01T22:28:00Z|2010-02-01T22:28:00Z
GD|YGC|108|-2.33|8.57|-2.09|4.01|2010-03-04T14:02:00Z|2011-09-15T07:53:00Z
GD|YGC|1|-2.23|NA|-2.23|0.00|2011-09-15T19:31:00Z|2011-09-15T19:31:00Z
GD|YGC|46|-3.91|7.00|-2.34|3.50|2011-10-08T08:53:00Z|2012-12-10T16:53:00Z
GD|YGC|44|0.15|3.63|0.23|3.34|2012-12-15T04:49:00Z|2013-09-01T11:52:00Z
GD|YGC||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=YGD,MINCC=0.80,XYFILE=GD.YGD.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|YGD|129|-2.84|5.56|-2.82|3.91|2007-08-02T02:37:00Z|2011-08-22T09:38:00Z
GD|YGD|2|-10.48|8.90|-10.48|9.33|2011-08-25T10:39:00Z|2011-08-30T06:57:00Z
GD|YGD|6|7.24|26.40|-1.13|6.84|2011-09-01T06:14:00Z|2011-09-15T07:53:00Z
GD|YGD|1|-1.71|NA|-1.71|0.00|2011-09-15T19:31:00Z|2011-09-15T19:31:00Z
GD|YGD|64|-1.65|4.13|-1.75|3.88|2011-09-16T19:26:00Z|2013-06-13T16:47:00Z
GD|YGD|7|7.73|9.48|3.47|4.77|2013-07-03T19:21:00Z|2013-09-01T11:52:00Z
GD|YGD||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=YGJ,MINCC=0.80,XYFILE=GD.YGJ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|YGJ|263|2.14|5.69|2.15|2.59|2007-08-01T17:08:00Z|2011-09-15T07:53:00Z
GD|YGJ|1|1.07|NA|1.07|0.00|2011-09-15T19:31:00Z|2011-09-15T19:31:00Z
GD|YGJ|111|2.07|3.99|1.82|2.15|2011-09-16T19:26:00Z|2013-09-02T04:30:00Z
GD|YGJ||||||2013-09-02T04:30:00Z|NULL
#NET=GD,STA=YGX,MINCC=0.80,XYFILE=GD.YGX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|YGX|15|-8.24|7.73|-6.03|7.64|2007-08-15T20:22:00Z|2008-06-22T07:22:00Z
GD|YGX|236|-23.33|5.26|-23.80|3.39|2008-06-22T23:56:00Z|2012-11-12T20:42:00Z
GD|YGX|42|1.43|13.76|0.01|2.92|2012-11-16T18:12:00Z|2013-06-15T16:11:00Z
GD|YGX|1|-2.37|NA|-2.37|0.00|2013-07-04T17:16:00Z|2013-07-04T17:16:00Z
GD|YGX|6|-1.94|2.38|-1.09|1.87|2013-07-07T18:35:00Z|2013-09-01T11:52:00Z
GD|YGX||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=YND,MINCC=0.80,XYFILE=GD.YND.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|YND|28|-0.50|9.25|1.29|3.86|2007-08-08T17:04:00Z|2010-10-08T03:26:00Z
GD|YND|1|6.81|NA|6.81|0.00|2010-10-25T14:42:00Z|2010-10-25T14:42:00Z
GD|YND|91|6.96|3.74|6.48|2.48|2010-10-25T19:37:00Z|2012-05-22T00:00:00Z
GD|YND|3|-0.85|8.13|-1.31|11.02|2012-05-24T22:47:00Z|2012-06-29T21:07:00Z
GD|YND|20|6.07|3.23|6.49|2.91|2012-07-08T11:33:00Z|2012-11-16T18:12:00Z
GD|YND|54|2.40|4.13|2.29|2.82|2012-11-19T09:44:00Z|2013-09-01T11:52:00Z
GD|YND||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=ZHH,MINCC=0.80,XYFILE=GD.ZHH.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|ZHH|140|2.09|7.92|0.78|3.55|2009-05-12T12:38:00Z|2011-09-15T07:53:00Z
GD|ZHH|1|-3.01|NA|-3.01|0.00|2011-09-15T19:31:00Z|2011-09-15T19:31:00Z
GD|ZHH|77|0.97|5.16|1.02|3.20|2011-09-16T19:26:00Z|2013-03-22T22:40:00Z
GD|ZHH|1|-0.08|NA|-0.08|0.00|2013-03-24T04:18:00Z|2013-03-24T04:18:00Z
GD|ZHH|33|-0.27|2.81|0.37|1.82|2013-03-24T08:13:00Z|2013-09-01T11:52:00Z
GD|ZHH||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=ZHJ,MINCC=0.80,XYFILE=GD.ZHJ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|ZHJ|56|-1.48|9.75|-0.55|3.81|2007-08-01T17:08:00Z|2011-03-07T00:09:00Z
GD|ZHJ|1|1.97|NA|1.97|0.00|2011-03-11T05:46:00Z|2011-03-11T05:46:00Z
GD|ZHJ|32|-3.34|14.30|-0.17|4.24|2011-05-10T08:55:00Z|2012-12-07T18:19:00Z
GD|ZHJ|1|-0.70|NA|-0.70|0.00|2012-12-10T16:53:00Z|2012-12-10T16:53:00Z
GD|ZHJ|21|-1.61|3.67|-0.38|2.97|2012-12-21T22:28:00Z|2013-09-01T11:52:00Z
GD|ZHJ||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=ZHQ,MINCC=0.80,XYFILE=GD.ZHQ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|ZHQ|198|-3.05|5.02|-2.71|4.29|2007-08-01T17:08:00Z|2010-07-13T23:56:00Z
GD|ZHQ|6|-11.45|8.42|-12.07|11.98|2010-07-18T05:56:00Z|2010-07-25T03:39:00Z
GD|ZHQ|99|-2.95|8.77|-2.97|4.08|2010-07-30T03:56:00Z|2011-09-15T07:53:00Z
GD|ZHQ|1|-4.07|NA|-4.07|0.00|2011-09-15T19:31:00Z|2011-09-15T19:31:00Z
GD|ZHQ|59|-2.49|4.26|-2.85|2.67|2011-09-16T19:26:00Z|2012-11-19T09:44:00Z
GD|ZHQ|66|1.08|4.72|1.79|4.14|2012-11-29T11:10:00Z|2013-09-02T04:30:00Z
GD|ZHQ||||||2013-09-02T04:30:00Z|NULL
#NET=GD,STA=ZHS,MINCC=0.80,XYFILE=GD.ZHS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|ZHS|29|-0.14|5.86|-1.17|3.59|2007-08-15T20:22:00Z|2008-07-24T01:43:00Z
GD|ZHS|1|-0.64|NA|-0.64|0.00|2008-08-30T06:54:00Z|2008-08-30T06:54:00Z
GD|ZHS|36|-1.03|8.30|-0.80|4.75|2008-09-08T18:52:00Z|2009-11-28T06:04:00Z
GD|ZHS|1|4.21|NA|4.21|0.00|2009-12-09T09:46:00Z|2009-12-09T09:46:00Z
GD|ZHS|125|-1.72|3.64|-1.78|3.22|2010-01-04T11:28:00Z|2013-09-01T11:52:00Z
GD|ZHS||||||2013-09-01T11:52:00Z|NULL
#NET=GD,STA=ZIJ,MINCC=0.80,XYFILE=GD.ZIJ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GD|ZIJ|170|0.27|5.36|0.38|3.32|2007-08-01T17:08:00Z|2011-01-13T16:16:00Z
GD|ZIJ|23|-7.37|7.88|-5.26|2.45|2011-01-18T20:23:00Z|2011-07-06T19:03:00Z
GD|ZIJ|9|-17.96|13.90|-23.22|6.12|2011-07-07T09:10:00Z|2011-07-26T06:17:00Z
GD|ZIJ|68|-3.45|9.99|-4.28|4.00|2011-07-31T23:38:00Z|2012-10-14T04:58:00Z
GD|ZIJ|1|2.78|NA|2.78|0.00|2012-10-20T23:00:00Z|2012-10-20T23:00:00Z
GD|ZIJ|60|-0.60|7.97|0.42|3.82|2012-11-12T20:42:00Z|2013-09-02T04:30:00Z
GD|ZIJ||||||2013-09-02T04:30:00Z|NULL
#NET=GS,STA=AXX,MINCC=0.80,XYFILE=GS.AXX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GS|AXX|2|8.86|12.68|8.86|13.29|2007-08-01T08:16:00Z|2007-08-01T17:08:00Z
GS|AXX|177|0.34|5.46|0.14|3.19|2007-08-08T17:04:00Z|2010-06-26T05:30:00Z
GS|AXX|1|2.69|NA|2.69|0.00|2010-06-28T12:07:00Z|2010-06-28T12:07:00Z
GS|AXX|216|0.38|4.95|0.05|3.53|2010-06-28T18:19:00Z|2013-01-20T10:48:00Z
GS|AXX|1|1.81|NA|1.81|0.00|2013-01-21T22:22:00Z|2013-01-21T22:22:00Z
GS|AXX|57|-1.86|4.77|-2.62|3.96|2013-02-06T00:07:00Z|2013-09-04T00:18:00Z
GS|AXX||||||2013-09-04T00:18:00Z|NULL
#NET=GS,STA=BYT,MINCC=0.80,XYFILE=GS.BYT.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
GS|BYT|237|-7.63|5.77|-7.38|4.36|2007-08-01T17:08:00Z|2010-10-08T03:26:00Z
GS|BYT|2|-39.23|62.97|-39.23|66.01|2010-10-25T14:42:00Z|2010-11-30T03:24:00Z
GS|BYT|11|12.12|25.73|29.93|6.14|2010-12-02T03:12:00Z|2011-01-12T21:32:00Z
GS|BYT|100|-6.30|10.05|-4.52|4.06|2011-01-13T16:16:00Z|2012-02-06T03:49:00Z
